thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_n,onchain,n500,500,9,13,verify_record_ms,moi_lan_do,20,10000,638.032911,143.585671,472.2609,2507.6611,ms,lap20
theo_n,onchain,n500,500,9,13,settle_gas,moi_lan_do,20,10000,69624.584,3.871491,69614,69626,gas,lap20
theo_n,onchain,n500,500,9,13,settle_ms,moi_lan_do,20,10000,27.294251,9.371157,14.6266,168.9583,ms,lap20
theo_n,onchain,n500,500,9,13,witness_ms,moi_lan_do,20,10000,60.330642,11.962164,33.3895,168.67,ms,lap20
theo_n,onchain,n500,500,9,13,setup_ms,moi_luot,20,20,1458.50451,210.258382,1132.467,2068.8566,ms,lap20
theo_n,onchain,n500,500,9,13,prove_ms,moi_lan_do,20,10000,1185.713695,129.316171,918.0059,3086.3466,ms,lap20
theo_n,onchain,n500,500,9,13,proof_generation_ms,moi_lan_do,20,10000,1246.044337,136.772213,952.0543,3190.539,ms,lap20
theo_n,onchain,n500,500,9,13,verify_native_ms,moi_lan_do,20,10000,6.599133,1.328576,4.6847,71.9772,ms,lap20
theo_n,onchain,n500,500,9,13,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_n,onchain,n500,500,9,13,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_n,onchain,n500,500,9,13,tach_gas,moi_lan_do,20,10000,685290.6204,52.853314,685101,685461,gas,lap20
