thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_n,onchain,n1,1,9,13,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_n,onchain,n1,1,9,13,deploy_verifier_gas,moi_luot,20,20,4554511,0,4554511,4554511,gas,lap20
theo_n,onchain,n1,1,9,13,update_root_gas,moi_luot,20,20,73114,0,73114,73114,gas,lap20
theo_n,onchain,n1,1,9,13,verify_gas,moi_luot,20,20,532296.8,57.865179,532154,532382,gas,lap20
theo_n,onchain,n1,1,9,13,verify_onchain_ms,moi_luot,20,20,572.51071,35.023497,494.7078,654.3708,ms,lap20
theo_n,onchain,n1,1,9,13,withdraw_gas,moi_luot,20,20,582685.8,57.865179,582543,582771,gas,lap20
theo_n,onchain,n1,1,9,13,withdraw_ms,moi_luot,20,20,600.77611,50.542425,487.8192,720.6232,ms,lap20
theo_n,onchain,n1,1,9,13,verify_record_gas,moi_luot,20,20,615677.8,57.865179,615535,615763,gas,lap20
theo_n,onchain,n1,1,9,13,verify_record_ms,moi_luot,20,20,621.115455,77.990256,482.669,868.3364,ms,lap20
theo_n,onchain,n1,1,9,13,settle_gas,moi_luot,20,20,69626,0,69626,69626,gas,lap20
theo_n,onchain,n1,1,9,13,settle_ms,moi_luot,20,20,24.59615,3.738964,18.1867,31.0483,ms,lap20
theo_n,onchain,n1,1,9,13,witness_ms,moi_luot,20,20,58.04337,12.444772,27.9685,74.9863,ms,lap20
theo_n,onchain,n1,1,9,13,setup_ms,moi_luot,20,20,1533.696705,116.927122,1215.4313,1805.9582,ms,lap20
theo_n,onchain,n1,1,9,13,prove_ms,moi_luot,20,20,1186.26328,119.629192,767.4615,1383.6018,ms,lap20
theo_n,onchain,n1,1,9,13,proof_generation_ms,moi_luot,20,20,1244.30665,129.182775,795.43,1455.4179,ms,lap20
theo_n,onchain,n1,1,9,13,verify_native_ms,moi_luot,20,20,6.529825,1.017768,3.6018,8.9338,ms,lap20
theo_n,onchain,n1,1,9,13,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_n,onchain,n1,1,9,13,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_n,onchain,n1,1,9,13,tach_gas,moi_luot,20,20,685303.8,57.865179,685161,685389,gas,lap20
